idtweet,tweet
1384938093292232704,"Guatemala tiene este kit para tratamiento domiciliario desde Agosto (IVM, ibuprofeno, Vit D, Aspirina, Acetaminofen y Azitromicina). Desde entonces los fallecidos diarios nunca han superado 2 personas cada 1 millon de habitantes.

El ""kit"" en Chile es paracetamol https://t.co/nz7NiT1gkI https://t.co/URiJiibP6Q"
1384937458475966464,"Guatemala tiene este kit para tratamiento domiciliario desde Agosto (IVM, ibuprofeno, Vit D, Aspirina, Acetaminofen y Azitromicina). Desde entonces los fallecidos diarios nunca han superado 2 personas cada 1 millon de habitantes.

El ""kit"" en Chile es paracetamol https://t.co/nz7NiT1gkI https://t.co/URiJiibP6Q"
1384934893629628417,"Guatemala tiene este kit para tratamiento domiciliario desde Agosto (IVM, ibuprofeno, Vit D, Aspirina, Acetaminofen y Azitromicina). Desde entonces los fallecidos diarios nunca han superado 2 personas cada 1 millon de habitantes.

El ""kit"" en Chile es paracetamol https://t.co/nz7NiT1gkI https://t.co/URiJiibP6Q"
1384934590435966976,"Guatemala tiene este kit para tratamiento domiciliario desde Agosto (IVM, ibuprofeno, Vit D, Aspirina, Acetaminofen y Azitromicina). Desde entonces los fallecidos diarios nunca han superado 2 personas cada 1 millon de habitantes.

El ""kit"" en Chile es paracetamol https://t.co/nz7NiT1gkI https://t.co/URiJiibP6Q"
1384930603372584964,"Guatemala tiene este kit para tratamiento domiciliario desde Agosto (IVM, ibuprofeno, Vit D, Aspirina, Acetaminofen y Azitromicina). Desde entonces los fallecidos diarios nunca han superado 2 personas cada 1 millon de habitantes.

El ""kit"" en Chile es paracetamol https://t.co/nz7NiT1gkI https://t.co/URiJiibP6Q"
1384923002572320770,"Guatemala tiene este kit para tratamiento domiciliario desde Agosto (IVM, ibuprofeno, Vit D, Aspirina, Acetaminofen y Azitromicina). Desde entonces los fallecidos diarios nunca han superado 2 personas cada 1 millon de habitantes.

El ""kit"" en Chile es paracetamol https://t.co/nz7NiT1gkI https://t.co/URiJiibP6Q"
1376986845012242432,@LorenaRLamprea @AliciaCha23 Te recomiendo tomar Azitromicina Atamel e ibuprofeno cada 8hras..x 3 días..ese tratamiento me salvó la vida..
1376914347306446849,"@Sandri69xoxo Compra y toma  ibuprofeno de 400 cada 12 horas, un antialérgico diario, yo tomé Loratadina y una Azitromicina por 5 días y encierrate"
1376868609625051144,"@InfanteLux @thairkassam Ibuprofeno de 400mg cada 8 hras aspirina 81mg 1 diaria, vitamina C, azitromicina, ivermectina dependiendo del peso 1 hoy y otra dosis en 48 horas. Ese fue el tratamiento q nos enviaron a mi mamá y a mi. https://t.co/e19VskUbpH"
1376861066089664513,"@Sandri69xoxo No vaya a ningún centro quédese en aislamiento y consiga un doctor q la guíe, por sobre todo mantenga la calma, el gusto y el olfato lo va ir recuperando, si tiene fiebre atamel c 6 horas y compre azitromicina, aspirina, ibuprofeno,dexametasona 6mgs, te dejo la Info de mi médico https://t.co/8cgv1egLoq"
