idtweet,tweet
1376774265614315522,A veces solo necesitas tomarte 10 gotas de clonazepam y una tab de alprazolam y seguir vibrando 😪
1376680905159409670,se puede mezclar alprazolam con clonazepam??? google necesito respuestas
1376234988337827840,"@anakinsscar a mí me cambiaron el alprazolam por clonazepam y desde anoche que ando en mi avión, todo relax"
1375918344356913154,"@SucioTia ...y el Escitalopram, Alprazolam, Paroxetina, Citalopram, Bupropion y Clonazepam"
1375801361309302791,"No más fluoxetina, no más clonazepam, no más alprazolam, no más olanzapina y mucho menos aripiprazol."
1375434177634516996,"@drlangosta En términos de eficacia, ¿cuál es más indicado para tratar un ataque de pánico, el Clonazepam en gotas o el Alprazolam sublingual?"
1374121970552475658,"Farmacias solo con delivery este fin de semana. 

¿Te cachái necesitaras Clotiazepam, Alprazolam, Diazepam, Clonazepam?

No. Ninguno con control legal se puede vender con delivery."
1373779160783585284,"Hoy fue un mal momento para dejar la hierba, aguardiente, armonil, alprazolam, clonazepam, omeprazol, melatonina y cuanta wea que tome el torneo pasado para pasar mi estado depresivo, anímico, alimenticio, etc. #VamosColoColo #VamosCacique"
1373519841269800962,"Clonazepam e Alprazolam
O tal do rivotril e feontal frontal c rivotril"
1373459564155273219,Clonazepam o alprazolam con alcohol. No falla. https://t.co/nsyYVI3IoT
1372925909041303552,"Una px llegó ""tratada"" con:

Sertralina, paroxetina, imipramina, escitalopram, litio, biperideno, clonazepam, citalopram, alprazolam, lorazepam

TODO al mismo tiempo

Ah! Y se toma su juguito de herbalife en la mañana 🙃"
1372200562494701568,"@lachicataser JAJAJAAJA, entendí la referencia. 

Tengo oxycodone de 10 a 40 mg. 
Clonazepam de 2 a 4mg. (La máxima diaria es de 15 a 20mg) 

Y creo que todavía me queda alprazolam. 

Todo es de prescripción así que nada es ilegal. Pero no soy camello, te las regalo, ¿cuáles quieres?"
1372176937674805263,@Sr_Fonseca No mencionó el Clonazepam ni el Alprazolam 🙄
1371917860478586881,"ServicioPúblico Se solicita para paciente psiquiátrico con insomnio crónico la donación de Alprazolam o Clonazepam de 1 o 2 mg.Gracias de antemano, a quienes puedan colaborar.@sebuscasedona https://t.co/I4KsJiIwC3"
1371917034427146243,"#ServicioPúblico Se solicita para paciente psiquiátrico con insomnio crónico la donación de Alprazolam, Clonazepam de 1 o 2 https://t.co/29HWgtQ8ST antemano, gracias a quienes puedan https://t.co/dFEVqdz3Je cuenta con informe médico y recuperar. https://t.co/e6amM4nZIZ"
1371844768217636870,"Venlafaxina, clonazepam, alprazolam y modafinilo me traen volando y ya veo como se mueven las cosas solas 👀👀"
1371297742815911938,"Benzodiacepinas:

M.A. Agonistas gabaergicos.

Tiempo de vida media:
Ultra corto &lt;6hr: midazolam, triazolam.
Corto 6-8hrs: alprazolam, lorazepam, lormetazepam.
Larga &gt;24hrs: clonazepam, flunitrazepam, diazepam, flurazepam."
1371112559672184840,"@ElNacionalRD Este INFORME; provocara llamadas a medicos. ""Se busca sedantes,  tranquilizantes e hipnoticos"".

diazepam (Valium®)
clonazepam (Klonopin®)
alprazolam (Xanax®)
triazolam (Halcion®)
estazolam (Prosom®)

Aunque no les serviran para librarse del PEPCA y NAJAYO a los Ladrones 
💣🤣😎"
1370817209996566528,"@dra_clozapine No entiendo el miedo a esas medicaciones. Muchos toman hasta 2mg diarios de Clonazepam o Alprazolam, pero cuando les dicen de un ISRS... dicen No."
1370649528236437506,Necesito tomar alprazolam o clonazepam para que me de sueño.
1370194205033836544,"Consigue un récipe, ve a una farmacia y cómprate cualquier ansiolítico (Alprazolam, Clonazepam, Bromazepam, Triazolam, etc) y ya está. Problema resuelto y todos felices. https://t.co/vBM7LqBChY"
1369851400138670083,@Conims Yo usaba clonazepam y después alprazolam y nada ahora quetiapina...esa cosa es maravillosa...una cae como mosca
1369644273738649606,"Estoy tan confundido, lo único que me controla medio ahí es Alprazolam y eso que es medio efectivo, no es clonazepam porque no se puede comprar así como tal"
