idtweet,tweet
1375870288391471109,"@AldoDuqueSantos Y esta última, letalidad = 0,02% Ad+ hace tiempo que ""Médicos por la verdad"" viene salvando muchas vidas con tratamientos exitosos como el ibuprofeno inhalatorio y los tan atacados dióxido de cloro e hidroxicloroquina entre otros...amparados legal% en el ""uso compasivo"""
1375462138379124741,@Santula Así como el año pasado regalaron hidroxicloroquina ahora traigan atracurio y midazolam para toda esa gente a quien cagaron y van a seguir necesitando
1369527794762387458,"@Milenio Ya no hay marcha atrás la gente debe saber que en vez de asesinar a sus parientes con profopol y midazolam y ventilación profunda es mejor oxigenar la sangre con CDS o hidroxicloroquina + zinc, les están reventando los alveolos cuando los tienen la pared intersticial coagulada. https://t.co/swSGG9cBKl"
1370847446838898689,"Efectos adversos fármacos antirreumáticos modificadores de enfermedad (FARME): 
Metotrexato: Hepatotoxicidad estomatitis citopenia
Leflunomida: Hepatotoxicidad citopenias
Hidroxicloroquina: RETINOPATIA
¿Como &lt; un poco la hepatoxocidad de metrotexato?
#USMLE #ENARM"
1370733326017953794,"@caritadepeo @keko77777777 Estoy con tratamiento de hidroxicloroquina, metotrexato y celicoxib. Nunca corticoides hasta ahora y ando bien. A parte consumo por recomendación del doc colágeno y vitamina D."
1366224155897720834,"@patrmarsh En todo caso, la definición de pequeñas moléculas es muy amplia. Incluye corticoides, metotrexato, hidroxicloroquina, leflunomida, y azatioprina, como los más comunes. También incluye compuestos con sufijo -tinib (ej: tofacitinib)"
1371872303949225984,"@DamarisFany Dra. Esperando se encuentre de lo mejor, en su opinión me gustaría saber, mi madre ha presentado un cuadro de alergias a diversos medicamentos para la artritis, entre ellos la hidroxicloroquina, filarin, metotrexate, mañana se va a vacunar, tiene temor de alguna reac"
1371362179786637315,"@DrHuge2 Aunque también me han tocado los que recibieron tratamiento de colegas que incluía invermectina, cefalexina, hidroxicloroquina, oseltamivir, metronidazol, nebulizaciones y criptonita liquida 🤦🏻‍♀️"
1374979528615923713,"No puedo creer que habiendo pasado más de 1 año desde el inicio del Covid, un médico especialista recete Moxifloxacino a la ligera así como Hidroxicloroquina 🤕"
1375442605866168320,"2019: No te automediques. Consulta con un médico 
2021: No te automediques. Consulta con un médico.
Si te receta azitromicina, hidroxicloroquina, ivermectina, dexametasona, omeprazol, ceftriaxona o enoxaparina para covid leve, consulta con otro."
