idtweet,tweet
1376996217150963719,"@FcoValGu Jajajajaja omeprazol, ibuprofeno flanax y que más le damos."
1376995348028219392,"@Martbella2020 Mucho cuidado también con anticonceptivos, ibuprofeno, aspirina, omeprazol..."
1376984644554530822,"#ServicioPublico| Hoy uso este medio para ayudar a una tía que dio positivo al #Covid19. 

Presenta deficiencia respiratoria leve y requiere Axitromocina 50mg Levofloxacina 750mg Ibuprofeno 400mg Omeprazol 20mg Vitamina C y D de 500mg y 2000U, respectivamente, y Dexametaxona Amp."
1376722638970748931,"Sabiendo lo que necesito para vivir tranquila, en mi casa siempre hace falta ibuprofeno, omeprazol, paracetamol y cetirizina y no hago nada para solucionarlo."
1376648203475501058,"omeprazol 🤝 ibuprofeno
equilíbrio"
1376599509468254212,"Mi ser sobrevive de puro ibuprofeno, omeprazol y diclofenaco"
1376558479280807950,"@sheilagarciam Con una cerveza o con una peña fiel twist de esas de limon con sal de mar, come algo, una ducha, ibuprofeno, riopan/omeprazol, y cómo nueva"
1376535456565825542,"@maggie_roig Ojo con el ibuprofeno y antibiótico de aca que es como una patada al higado.
Tomalo con omeprazol"
1376374129129967622,"@YannirFreites @LoiseVe28 Toma un ibuprofeno con algún protector gástrico omeprazol o ranitidina para que bajes la inflamación con infusión de jengibre, cebolla, canela, guayabita,  anis estrellado y limón entero cortado en cruz endulzado un poco con miel y loratadina cada 12 horas 🙏👍🤩"
1376306179421433863,@mayakhamis @PipePolo4 Si toma ibuprofeno hay que tener el esomeprazol a mano...
1375722370963537922,"@M0rtyC90s @MiniAkula Ahora mismo, mi dismenorrea secundaria se controla con Enantyum 25mg 1com/8h durante los 2 primeros días e ibuprofeno 400mg 1com/8h el 3r y 4o día (el 4o muchas veces no lo necesito). Tomo también omeprazol 40mg 1cap/24h."
1375458772651552772,"💊 Paracetamol, ibuprofeno, omeprazol… Así se fija el precio de los medicamentos en España https://t.co/2FNWIWE0pP Contenido de @CuidatePlus"
1375424021446201352,"""Paracetamol, ibuprofeno, omeprazol… Así se fija el precio de los fármacos"".
🗣️Participación de Merixell Cortés, vocal de Industria del COFB, en esta publicación de @CuidatePlus 👇🏻 
https://t.co/yZSVPLVZHj"
1375250747986706437,"Asi es aparte hay q pagarle a Carlitos xq nos entregue el dinerito de la mesada, a las EPS xq nos atiendan mal y para q nos regalen acetaminofen, omeprazol e ibuprofeno.  Ah y las gafas q por ley tenemos derecho, nunca se ven... toca pagar privado este servicio y el muelaje malo https://t.co/05TG5BPHlG"
1375206632808968196,@Klkautsky1 DOS TUERCAS DE IBUPROFENO SIN TOMARSE UN OMEPRAZOL DE MUENA MAÑANA. PUTIN LE QUIERE MATAR LENTAMENTE DE ÚLCERA O DE ARDORES.
1375116633002414087,"Un día eres joven y al otro cargas omeprazol, ibuprofeno y paracetamol, en tu bolso."
1375008418927362048,"en menos de diez horas ya me tomé keterolac, ibuprofeno, actron, diclofenac y omeprazol. y encima son casi las seis de la mañana y no puedo dormir del dolor. que buenooooo"
1374958495276105735,"El Covid se ha beneficiado demasiado de las RRSS. Es increíble como todo el mundo dice ""no que la vacuna tiene efectos secundarios"" ""no es eficaz al 100%"" y no sé qué más 🙄 ojalá leyeran la hoja de posibles efectos secundarios del omeprazol, ibuprofeno, acetaminofen...."
1374728449827475461,"El papá de una de mis mejores amigas está complicado de COVID está necesitando URGENTE:

—Concentrador de oxígeno
—Rivaroxaban 
—Ibuprofeno
—Omeprazol
—Amlodipina

WhatsApp: https://t.co/cjqulQMrWC

Gracias por cualquier apoyo que puedan brindar 🙏

Favor RT https://t.co/suV9nDWcUU"
1374666096444334080,"@OliverLopezCano No tomen paracetamol, tiene efectos secundarios,no tomen ibuprofeno,tiene efectos secundarios,no tomen omeprazol,tiene efectos secundarios,no tomen loratadina tiene efectos secuendarios! 25 millones vacunados con astraZeneca y solo 12 personas presentan efectos secundarios 🤷🏽‍♂️🤷🏽‍♂️🤷🏽‍♂️"
1374474801163608070,"@AleCrespoF @alejandro_orl Yo todo lo q tome fue sintomático y la verdad me prestó pero lo q sentí q me ayudó mucho fue aspirina,ibuprofeno d 600g,omeprazol,vitaminas,a,d,zinc,c y muchas gargaras d sal,cada 3 horas y bicarbonato de sodio al levantar tomar medio vaso y para dormir y un Vick vaporub al lado"
1374397966551711748,"Un día eres joven y al otro sales a farmacity a comprar

Paraceramol
Ibuprofeno
Loratadina
Diclofenac
Omeprazol

Para reponer la cajita de medicinas de la casa, por si acaso."
1369929526801817600,"exigencia de prescripción para dispensar ciertos productos que existen en el mercado dados de alta como Sin receta y EFP al mismo tiempo: ejemplos como clotrimazol, omeprazol, paracetamol, ambroxol, acetilcisteina.....
La AEMPS debería ser consecuente al aprobar ciertas licencias"
1370527612020387841,"El vato que trabajaba conmigo y manda amikacina + metronidazol + levofloxacino + metilprednisolona + hidrocortisona + metoclopramida + benzocaína + omeprazol + budesonida + bromhexina (y los que no recuerdo) ¡TANTITA MADRE, COMPA! 🙄 https://t.co/gcnSkyfFJh"
1375137128879915017,"@ximperi Eso es muy normal en personas de nuestra edad 👴🧓siempre llevo omeprazol, pepto bismol, paracetamol, amlodipino, etc."
1375455773736771594,"@JuanSePueblo1 @JUDITHP93 Que lastima lo de la Dra. Creo que nos tratamos con omeprazol + amoxicilina de 1000 mg. Cada 12 horas por 10 dias. Pero hacete el analisis, por que puede ser por otra cosa, por lo que comes y las paedes del estomago dañadas. Tomar antibioticos no es nada bueno!"
1373926841803759617,"➡️El tratamiento tipo incluye Omeprazol, Amoxicilina de 1 gramo, y Claritromicina 500 mg durante 14 días. En ocasiones acompañado de Metronidazol. 
➡️En cepas resistente a Metronidazol, se usa Pylera,incluye sales de Bismuto para erradicar la bacteria. 

https://t.co/M4qc7WZO4d https://t.co/ADop8OSTCD"
1371418453370933250,"*Tenemos despacho inmediato de los siguientes medicamentos a toda Ccs:* 
Amlodipina 10Mg
Amlodipina 5mg
Amoxicilina 600mg
Cetirizina 10mg
Ciprofloxacina 500mg
Dexametasona 8mg/2ml amp 
Diatonb (Diosmina) 450mg
Diclofenac potásico 50mg x 30tab
Esomeprazol 40mg
Enalapril 5mg"
1367620120537821186,"Tratamiento de ERRADICACIÓN para H. PYLORI por 14 días.

-OMEPRAZOL 20-40 mg c/12*

-CLARITROMICINA 500 mg c/12*

-AMOXICILINA 1g c/12**

O

--OMEPRAZOL*

--CLARITROMICINA*

--BISMUTO 120 ml C/6 

--METRONIDAZOL 500 mg C/8**

En caso de resistencia

**TETRACICLINA 500 mg"
1366814172760203264,ESOMEPRAZOL/AMOXICILINA PARA LA ERRADICACIÓN DE HELICOBACTER PYLORI #siicfarma #siicgastro https://t.co/Zk0YN1W1UV
1369929526801817600,"exigencia de prescripción para dispensar ciertos productos que existen en el mercado dados de alta como Sin receta y EFP al mismo tiempo: ejemplos como clotrimazol, omeprazol, paracetamol, ambroxol, acetilcisteina.....
La AEMPS debería ser consecuente al aprobar ciertas licencias"
1373779160783585284,"Hoy fue un mal momento para dejar la hierba, aguardiente, armonil, alprazolam, clonazepam, omeprazol, melatonina y cuanta wea que tome el torneo pasado para pasar mi estado depresivo, anímico, alimenticio, etc. #VamosColoColo #VamosCacique"
1371512038585991174,"Cuando te llega un trastorno de pánico de librito y te dice que ya tiene cita con gastro y cardio y no puedes vivir con la angustia de no saber si lo van a bombardear con amiodarona, dislep, omeprazol y alprazolam hasta que Cristo venga o será un colega que sabe de psiquiatría."
1370341040796925956,"-Necesito algo fuerte para dormir.

-A ver qué toma usted de medicación.

-Palexia, Omeprazol, Diazepam, Sertralina y Trankimazin. https://t.co/kQYE6xVNLN"
1377018057114128384,"@AnaRuizF Te recomiendo Enantium / 8 horas si sueles tener problemillas de estómago : omeprazol / 24 horas en desayuno . Relajante tipo diazepam 5 mg / 24 horas antes de ir a dormir. Y sobre todo que NO te quedes en la cama , sal a pasear , anda mucho y no dejes de andar para tonificar."
1373495963965399041,"@marubb_15 Vamoos ya tengo botiquín listo:
Paracetamol para la fiebre
Diclofenaco para la rodillas espalda y ciática
Omeprazol para la gastritis
Losartan para la presión 
Diazepam por eso del insomnio menopausico
Sucrol anti alshaimer
Si falta algo me avisan 😉
🤣🤣🤣🤣"
1370960690161328131,"En resumen después de 5 horas ,saliendo a las 01,50AM
Caminando hacia casa por avenida Grecia.
Estado de angustia (Diazepam a la vena).
Colon irritable (ketoprofeno?)
Tensodox
Lomeprazol Así está la mayoría de los chilenos!!!Con angustia generalizada .
🤬"
1370773792470007808,"#dina / #ona antihistamínicos (loperatadina, dexametasona)
#Fil  son inhibidores (Sildenafil, tadafil) 
#Eno son antiflamatorios (ibuprofeno,  neopreno)
#Pam son ansiolíticos o hipnoticos (diazepam, bromazepam) 
#prazol inhibidores de protones (omeprazol, lansoprazol)"
1370341040796925956,"-Necesito algo fuerte para dormir.

-A ver qué toma usted de medicación.

-Palexia, Omeprazol, Diazepam, Sertralina y Trankimazin. https://t.co/kQYE6xVNLN"
1374930982663557126,"@la_grenitas Alguien necesitará Vitacilina, omeprazol y valium."
1376737037580083203,"@_TioGamboin A los 50 un team de omeprazol, diclofenaco y Riopan!!"
1376599509468254212,"Mi ser sobrevive de puro ibuprofeno, omeprazol y diclofenaco"
1375651659288809476,"@Joe_val La cartera, los audífonos, el omeprazol y diclofenaco y un hitter con motita 🥰"
1373495963965399041,"@marubb_15 Vamoos ya tengo botiquín listo:
Paracetamol para la fiebre
Diclofenaco para la rodillas espalda y ciática
Omeprazol para la gastritis
Losartan para la presión 
Diazepam por eso del insomnio menopausico
Sucrol anti alshaimer
Si falta algo me avisan 😉
🤣🤣🤣🤣"
1372205156016779267,@ierrejon @siempreconlydia También conocemos el ibuprofeno el diclofenaco el omeprazol y otras muchas más medicinas así que no te vale ese argumento. 🤦🤦🤦
1370782006573928454,"@pks1785 ¡Vea pues! Ja ja ja. 
Omeprazol, aspirina o diclofenaco."
1369897610593529860,"En las repisas a lado de mi cama siempre tengo paracetamol, gel de diclofenaco pa’ las contracturas, carbotural, omeprazol pa’ las agruras y un vaso de agua. 
Nada más me falta la silla de ruedas y gritarle a los vecinos que se salgan de mi césped."
1368454258522198017,@b_pollito El omeprazol para la acidez y la domperidona para el reflujo es buenísima. Las dos mejores tabletas después del paracetamol y el  diclofenaco.
1375385553433149444,"La movilidad de un muñeco de Lego®, dolores insoportables, una ecografía, placas de RX y 2 resonancias magnéticas después... ¿cuál será el resultado?

Dios bendiga a quien inventó los diazepanes, el nolotil, el tramadol, el paracetamol, el dexketoprofeno y el omeprazol..."
1371742883162767360,"@miballestrinque @senioradashwood Pues eso. Que no tomes nolotil, ibuprofeno, aspirina, enantyum, omeprazol o benzodiacepinas, que sólo por encontrarte mejor te arriesgas a efectos adversos mucho más mortales y mucho más frecuentes. Y si matas a un familiar tuyo por pegarle el covid, al menos no tendrás trombos."
1370686108078649344,"heparina, enantyum, nolotil, omeprazol y hielo son mis mejores aliados ahora mismo https://t.co/9WSOkbPKRX"
1370037595393118210,@nosoylacarrera Un omeprazol un Augmentine una de zamene un nolotil y un café solo y tú
1368638332188639235,"En @maldita_ciencia

Por qué no tienes que temer al omeprazol, ibuprofeno o Nolotil: bulos y mitos sobre los fármacos 👇 https://t.co/GWEcHFDHrz"
1368609116336324610,"Por qué no tienes que temer al omeprazol, ibuprofeno o Nolotil: bulos y mitos sobre los fármacos https://t.co/hl1rNvIakB"
1367414835194064899,"Acerca del omeprazol, ibuprofeno o Nolotil hay numerosos bulos, mitos o desinformaciones. En @maldita_ciencia nos aclaran todo acerca de estos famosos y populares fármacos.

https://t.co/rrvAURYtv5

#Equipo_Clinico https://t.co/Y7lrMnruOH"
1366286831348809730,"Por qué no tienes que temer al omeprazol, ibuprofeno o Nolotil: bulos y mitos sobre los fármacos |  https://t.co/yOqOaZEbHS via @maldita_ciencia"
1376470808864960520,"@msaludpy #CoronavirusPy #SaludEnTerapia ""Atracurio y Midazolam garantizamos en nuestros centros grandes. En este mismo momento Omeprazol no tenemos. Creemos que en transcurso de la semana y las próximas estaremos proveyendo drogas no vitales"", Dr. Derlis León, @msaludpy. #Lpm730 #730AM"
1373050809571741696,"Me da tristeza leer en las observaciones de la guardia que en el hospital no hay rocuronio, midazolam, fentanilo y ahora OMEPRAZOL Y RANITIDINA IV, cada vez es peor la situacion en lo que respecta a Salud en este país, los ministros se lavan las manos y el paciente es un chiste."
1368367047663554563,"Aparecieron las ampollas de Atracurio y Midazolam. Pero siguen faltando las siguientes ampollas esenciales:
- Enoxaparina.
- Omeprazol.
- Ketamina.
- Dexametasona.
- Enalaprilato.
- Furosemida.
- Levofloxacina.
- Nitroglicerina.
- Noradrenalina.
- Insulina NPH.

@julioborba29"
1367821289583484934,"Luz Leguizamón del Sindicato de Enfermeras del Hospital de Itauguá, confirmó que son 115 pacientes internados por covid en el lugar y 45 están en UTI.  “No solo falta midazolam o atracurio, sino cosas básicas como leukoplast, omeprazol. La provisión es discontinua”, aseveró"
1367196687031222272,"¿Desabastecimiento Regional de atracurio, midazolam, omeprazol, nitroglicerina, dexametasona?. Miguel Agosta, periodista argentino: ""no tiene sentido una pregunta así. A nadie le cabe en la cabeza que no se compren estas cosas. Es como que en la panadería falte pan"". @1000_am."
1367194831613788173,"""No puede ser, es peor que grave estar sin atracurio, midazolam, omeprazol, nitroglicerina, dexametasona. Es falta de gestión"", Miguel Agosta, periodista argentino / @rickyalderete @aalevera #LaTardeA1000"
1367193557921112067,"Hablamos con Miguel Agosta, periodista argentino y enfermero de UTI fuera de ejercicio. ¿En Argentina también faltan atracurio, midazolam, omeprazol, nitroglicerina, dexametasona?. ""Estas 5 drogas hay en bateas llenas, si faltan la gente se muere porque es MUY BÁSICO"". @1000_am."
1367162208988332033,"¿Qué otros países de la región están sin atracurio, midazolam, omeprazol, nitroglicerina, dexametasona, entre otros? Porque si somos solo nosotros no es un problema regional como se justifica sino de falta de gestión a la hora de reabastecer el stock que se va agotando."
1375983251785981952,"Actualmente requiere de los siguientes medicamentos:

✅ ACIDO FOLICO
✅HEPAFOL BANTRON O METRONIDAZOL
✅ CEFTRIAXONA
✅OMEPRAZOL

Quien desee colaborar comunicarse al 04243573625.

¡Ayudemos a ayudar!
#calabozo #guarico https://t.co/Dik3vt39GB"
1374725885014720516,@1pocotrambolico @DaniBada1991 Ami me mandaron el de 15 con claritromicina amoxi metronidazol y Omeprazol . Tu cómo estás tras la puta bomba biológica esa @DaniBada1991 ??
1373926841803759617,"➡️El tratamiento tipo incluye Omeprazol, Amoxicilina de 1 gramo, y Claritromicina 500 mg durante 14 días. En ocasiones acompañado de Metronidazol. 
➡️En cepas resistente a Metronidazol, se usa Pylera,incluye sales de Bismuto para erradicar la bacteria. 

https://t.co/M4qc7WZO4d https://t.co/ADop8OSTCD"
1370837187776876547,@RawMartyn Puesss metronidazol 😄digo! Omeprazol 🤣
1370527612020387841,"El vato que trabajaba conmigo y manda amikacina + metronidazol + levofloxacino + metilprednisolona + hidrocortisona + metoclopramida + benzocaína + omeprazol + budesonida + bromhexina (y los que no recuerdo) ¡TANTITA MADRE, COMPA! 🙄 https://t.co/gcnSkyfFJh"
1367620120537821186,"Tratamiento de ERRADICACIÓN para H. PYLORI por 14 días.

-OMEPRAZOL 20-40 mg c/12*

-CLARITROMICINA 500 mg c/12*

-AMOXICILINA 1g c/12**

O

--OMEPRAZOL*

--CLARITROMICINA*

--BISMUTO 120 ml C/6 

--METRONIDAZOL 500 mg C/8**

En caso de resistencia

**TETRACICLINA 500 mg"
