idtweet,tweet
1376413660113960961,"@neisamata7 Correcto.. como dice anterior, 
IBUPROFENO cada 8 hrs.
ASPIRINA 1 diaria
INFUSIONES 2 veces al día
Y aunque hay divergencias; 
Si presenta Tos y/o fiebre.
AZITROMICINA  1 diaria
Si presenta mayor malestar ir a hospital.
# Ivermectina sirve pa Garrapatas, no a Covid.  **Remdesivir"
1375232209452470275,"@OjedaCaracas Aquí en el interior he visto seguir y mí esposo lo siguió el protocolo del año pasado: ivermectina, azitromizina, vitaminas D C Zinc y ácido fólico, ibuprofeno y acetaminofen. Y hay más vivos que muertos, unos complicados y recurrieron remdesivir, oxígeno, antitrombos y otras."
1370773791597596680,"#InformacionQueCura Mini hilo🔻

Sobre las medicinas podemos descubrir que su terminación nos da información  para que sirven: 

#Vir son antivirales (remdesivir, ritonavir) 
#ina son antibióticos (amoxicilina, clindamicina)"
1370196995990769666,"Además llegó aciclovir endovenoso y soluciones parenterales. Briceño destacó que actualmente el centro centinela cuenta con los antivirales Favipiravir y Remdesivir, también llegaron  esteroides y anticoagulantes para esa área. https://t.co/AJpg3obEa2"
1376269406217641989,@santigon09 Remdesivir venden a ese precio en los privados y no dejan que los fliares metan de afuera los medicamentos. Midazolam 60.000 en una farmacia cerca de Clínicas
1376137794419036161,"Por farmacia, cada uno tiene su tiempo y cada uno tiene su precio.
Básicamente el precio es 
Atracurio 40 a 50 mil
Midazolam 35 a 45mil
Bariticinib 7.600.000 a 7.800.000 
Remdesivir NO TIENE, ese medicamento “no comercialízanos aquí” palabras textuales de ellos"
1375985363949391875,"@tornacojoseluis Ahora esperamos el Midazolam, el remdesivir y baricitinib... Que las binacionales @ebypy  e @itaipuparaguay  compren @MaritoAbdo @NicanorDF tienen plata a cacharrata.. Es hora de cubrir los gastos en salud del pueblo 
."
1375849760054185986,"@yolandapark1 Y esta difícil, porque si no hay midazolam que cuesta 39.000. El Remdesivir cuesta 1.900.000. Se usan 2 ampollas de entrada, luego 1 al día dependiendo del cuadro clínico. Lastimosamente es 🇵🇾."
1375782368594833415,"Costos medicamentos p/ COVID:
#Remdesivir
Clorinda: Gs.500.000
Asuncion: Gs. 1.900.000
#Atracurio
Clorinda: Gs. 50.000
#Midazolam:
Clorinda: Gs. 35000
Asuncion: ambos Gs.115.000
Privados Py: #Remdesivir: Gs. 2.200.000 no dejan meter de afuera. 
#Atracurio y #Midazolam Gs. 300.000"
1375645164035846144,"Costos medicamentos p/ COVID:
#Remdesivir
Clorinda: Gs.500.000
Asuncion: Gs. 1.900.000
#Atracurio
Clorinda: Gs. 50.000
#Midazolam:
Clorinda: Gs. 35000
Asuncion: ambos Gs.115.000
Privados Py: #Remdesivir: Gs. 2.200.000 no dejan meter de afuera. 
#Atracurio y #Midazolam Gs. 300.000"
1375623401637879809,"#DicenQue 
El Remdesivir en las farmacias de Clorinda tiene un costo de Gs.500.000 en las farmacias de Asuncion cuesta Gs. 1.900.000
El Atracurio un costo de Gs. 50.000 y el Midazolam Gs. 35000 en Clorinda, mientras que en Asuncion ambos cuestan Gs.115.000."
1375493343912849414,"""Nosotros estos informes de los precios los elevamos al Ministerio de Salud, sobre todo de los relacionados al Midazolam, Remdesivir"" Juan Marcelo Estigarribia, Ministro de @sedecopy sobre precios de medicamentos en Farmacias #R800AM"
1374401033070252046,"@BeatrizNez17 @jfergo86 esa carpa debía llegar con un lote de midazolam, atracurio, remdesivir, etc... no una carpa vacía, te parece que una carpa es más importante que lo demás??"
1373381350477213704,"Obviamente en @COFEPRIS el nuevo jefe todavía está calentando el brazo. 
De hecho, contestan cosas distintas a los hechos. 
1. La CDMX estuvo usando Remdesivir sin registro en varios centros para un “protocolo” nunca registrado. 
2. Entró midazolam al país sin marbetes en español https://t.co/LDVgZT0tLU"
1371838028247863297,"@Alfredo_Romanb No. Significa que metotrexato u otros antifolatos, podrían resultar sinérgicos con el análogo nucleotídico antivírico remdesivir. Pero estos son estudios in vitro. Faltan estudios en humanos."
1375980358223724544,"4. Cómo puedes apoyarnos? 
- Si cuentas con algún medicamento que está por vencer o te quedó de tu tratamiento Covid, como por ejemplo Ceftriaxona, Omeprazol, Remdesivir, Clexane, Dexametasona, (puedes comunicarte con nosotros)"
