idtweet,tweet
1376315375453896707,@Fer_nandasilv Rivotril e alprazolam kkkkkkk
1374851394398720003,"quarteto de amizade: eu, rivotril, alprazolam e clozapina"
1374448390134657028,@erixdwo era só tomar 27 comprimidos de alprazolam e 50 gotas de rivotril que tava tudo otimo
1373784917620965376,@mcolina09 Recetame alprazolam o rivotril con prozac por favor 🙃
1373519841269800962,"Clonazepam e Alprazolam
O tal do rivotril e feontal frontal c rivotril"
1373519601020116993,sim mt alprazolam rivotril fenergan acostumei ja https://t.co/LBFCIUtvfc
1372295404625264643,"pero siempre iba acompañado de primero el Noctalmid, luego el Alprazolam, luego el Trankimazín, luego el Rivotril, luego el Orfidal, la Zyprexa y el Diazepam. Llevo siendo adicta a las benzodiazepinas desde hace 10 años. He podido dejar otras adicciones mucho más fuertes"
1371530875771482115,Doutora por favor troque o rivotril pelo alprazolam.
1370877356877959174,lanchinho da noite cartela de alprazolam 200 gota de rivotril
1367701379402375172,@gabrielamanoel_ rivotril + alprazolam
1372295404625264643,"pero siempre iba acompañado de primero el Noctalmid, luego el Alprazolam, luego el Trankimazín, luego el Rivotril, luego el Orfidal, la Zyprexa y el Diazepam. Llevo siendo adicta a las benzodiazepinas desde hace 10 años. He podido dejar otras adicciones mucho más fuertes"
1372268495786889217,"Trankimazin, Aneurol, Fluoxetina, Seropram e Rivotril. Todo isto antes dos 26 anos. A miña vida consistía nun bloqueo, sen libido, pernas inquedas na cama e ir polo mundo modo zombi a cambio de non sentir. Ata que coñecín á miña psicóloga. Xa abonda de frivolizar coa saúde mental"
1370906660214992899,vendo trankimazin rivotril etc a buen precio https://t.co/OqkeS67ztq
1367159696512208897,"Ni trankimazin ni rivotril ni diazepam, con nuestra polla nos sobra"
1366484285461590016,"marzo con M de Te puedo pillar polen, te puedo pillar hierba, jamona, te puedo pillar éxtasis, te puedo pillar cristal, te puedo pillar coca, te puedo pillar keta, te puedo pillar...... yo que se tío pastillas, trankimazin, rivotril, lorazepam, bromazepam, diazepam, pero....."
1366472397621231617,"Te puedo pillar polen, te puedo pillar hierba, jamona, te puedo pillar éxtasis, te puedo pillar cristal, te puedo pillar coca, te puedo pillar keta, te puedo pillar...... yo que se tío pastillas, trankimazin, rivotril, lorazepam, bromazepam, diazepam, pero..... pero cbd no tío."
1366468019006754818,"Te puedo pillar polen, te puedo pillar hierba, jamona, te puedo pillar éxtasis, te puedo pillar cristal, te puedo pillar coca, te puedo pillar keta, te puedo pillar...... yo que se tío pastillas, trankimazin, rivotril, lorazepam, bromazepam, diazepam, pero..... pero cbd no tío."
1375328858753355778,"@HolaSoyCarito Melatonima algo así, ojo con diazepam, rivotril y similares."
1374713268573507585,pensano aquir em tomar sedativo vei imagina overdose de rivotril alprazolan e diazepam puta merda
1374152953586724864,"#BuenasNoches @UNED,me encuentro tumbada en la cama mientras pienso en los exámenes.Como cada noche 2 Diazepam y 3 Rivotril para poder conciliar el sueño.Mi vida lleva paralizada 1 año.Un año cumpliendo las restricciones que para realizar unos exámenes no aplican. #uneddiscrimina"
1373095948507783172,@sritarivotril Jajajajjajaajaja Diazepam jajajaja el rivotril
